"Sex","Age","Married","Education","Informal","Wages","Full_time","Union_member","Social_Group","Urban"
1,38,2,20,0,9000,1,1,1,0
1,30,1,17,0,2900,1,1,1,0
2,59,3,14,1,1000,1,1,1,0
1,48,2,14,0,6000,1,1,1,0
1,33,2,12,1,1500,1,1,1,0
1,48,2,4,1,1400,1,2,1,0
2,33,1,8,0,2688,1,1,1,0
1,24,1,4,1,1200,1,2,1,0
2,30,1,14,0,2292,1,1,1,0
1,49,2,14,1,933,1,2,1,0
1,23,4,12,1,900,1,2,1,0
1,30,2,12,1,900,1,2,1,0
2,26,2,4,1,720,1,2,1,0
1,35,1,0,1,900,1,2,1,0
1,23,1,4,1,900,1,2,1,0
2,30,1,4,1,720,1,2,1,0
1,25,1,4,1,1260,1,2,1,0
2,48,2,2,1,600,1,2,1,0
1,24,1,8,1,1400,1,2,1,0
1,16,1,8,1,1080,1,2,1,0
2,23,1,8,1,600,1,2,1,0
1,24,1,2,1,1200,1,2,1,0
1,20,1,2,1,1200,1,2,1,0
1,30,2,2,1,1200,1,2,1,0
2,30,2,14,0,4000,1,2,1,0
1,17,1,2,1,750,1,1,1,0
1,30,2,4,1,1200,1,2,1,0
1,19,1,2,1,1080,1,2,1,0
1,40,2,14,0,1750,1,1,1,0
1,24,2,12,1,750,1,1,1,0
1,45,2,4,0,1000,1,1,1,0
2,40,2,4,1,600,2,2,1,0
1,31,2,8,1,750,1,2,1,0
2,33,1,17,0,3150,1,2,1,0
1,29,1,17,1,1500,1,2,1,0
1,24,1,4,1,1000,1,2,1,0
1,36,2,8,0,3500,1,2,1,0
2,24,1,14,1,1500,1,2,1,0
2,24,1,14,1,1500,1,2,1,0
2,28,4,14,0,3850,1,2,1,0
2,39,2,17,0,5100,1,2,1,0
1,38,2,8,1,1500,1,2,1,0
1,32,2,17,0,2800,1,2,1,0
2,28,2,14,0,3000,1,2,1,0
2,27,1,14,1,1500,1,2,1,0
1,46,2,4,0,4000,1,2,1,0
1,25,1,4,1,1200,1,2,1,0
2,27,2,14,1,1500,1,2,1,0
1,26,2,14,1,1500,1,2,1,0
1,22,1,2,0,3750,1,2,1,0
1,20,1,14,1,1500,1,2,1,0
2,25,1,8,1,1000,1,2,1,0
1,46,2,12,0,5000,1,2,1,0
1,24,1,2,1,2000,1,2,1,0
1,24,2,2,1,900,1,2,1,0
1,34,2,0,1,900,1,2,1,0
2,33,2,2,1,720,1,2,1,0
1,34,2,4,1,1080,1,2,1,0
1,29,2,8,1,720,1,2,1,0
1,32,2,17,0,3750,1,2,9,0
1,40,2,8,1,1250,1,2,9,0
2,33,2,4,1,468,1,2,9,0
1,38,2,12,1,468,1,2,9,0
1,30,2,12,1,468,1,2,9,0
2,26,2,8,1,200,1,2,9,0
1,35,2,2,1,468,1,2,9,0
1,37,2,4,1,300,1,2,9,0
1,37,2,4,1,468,1,2,9,0
2,33,2,4,1,500,1,2,9,0
1,34,2,4,1,468,1,2,9,0
1,29,2,4,1,468,1,2,9,0
1,42,2,17,0,6585,1,1,1,0
2,41,2,14,0,5100,1,1,1,0
1,41,2,17,0,5000,1,1,1,0
2,38,2,14,0,4000,1,1,1,0
1,29,2,12,0,2050,1,1,1,0
1,36,2,8,1,1200,1,2,1,0
1,47,2,8,1,500,1,2,1,0
2,42,2,8,1,290,1,2,1,0
1,43,2,8,1,900,1,2,1,0
2,39,2,4,1,290,1,2,1,0
1,50,2,14,0,3750,1,2,1,0
1,37,2,12,1,1000,1,2,1,0
1,30,2,4,1,300,1,2,1,0
1,31,2,14,0,3750,1,1,9,0
1,56,2,12,0,4000,1,1,9,0
1,18,1,8,1,300,1,2,9,0
1,45,2,17,0,5500,1,2,9,0
1,45,2,8,1,1450,1,2,1,0
1,58,1,4,1,650,1,2,1,0
2,36,2,17,0,6860,1,1,1,0
2,38,4,15,0,4550,1,1,1,0
1,38,2,8,1,850,1,2,1,0
2,33,2,4,1,650,1,2,1,0
1,40,2,12,0,4250,1,2,1,0
2,27,2,12,1,702,1,2,1,0
2,43,2,12,1,702,1,2,1,0
1,27,2,8,1,585,1,2,1,0
1,30,2,8,1,400,1,2,1,0
1,30,2,8,1,468,1,2,1,0
1,42,2,4,1,702,1,2,1,0
1,46,2,2,1,702,1,2,1,0
1,38,2,4,1,702,1,2,1,0
1,40,2,8,1,702,1,2,1,0
1,38,2,17,0,3750,1,2,1,0
2,32,2,12,0,3750,1,2,1,0
1,36,2,12,1,702,1,2,1,0
2,31,2,8,1,300,1,2,1,0
1,26,2,4,1,1800,1,2,1,0
2,25,2,2,1,1200,1,2,1,0
1,32,2,4,1,702,1,2,1,0
1,38,2,12,1,702,1,2,1,0
1,35,2,12,1,702,1,2,1,0
2,34,2,4,1,300,1,2,1,0
1,32,2,14,0,3700,1,2,1,0
1,41,2,14,0,4550,1,1,1,0
1,36,2,8,0,2900,1,1,1,0
2,32,2,4,1,585,1,2,1,0
2,48,2,14,1,750,1,1,1,0
1,48,2,8,1,585,1,2,1,0
2,40,2,4,1,170,1,2,1,0
1,52,2,8,1,4000,1,2,1,0
1,34,2,12,1,1800,1,1,1,0
1,24,1,12,1,1800,1,1,1,0
1,21,1,8,1,1800,1,1,1,0
1,28,2,4,1,1800,1,1,1,0
1,29,2,8,1,1800,1,2,1,0
1,40,2,8,1,1800,1,1,1,0
1,40,2,4,1,1800,1,2,1,0
2,38,2,4,1,1500,1,2,1,0
2,46,3,14,1,1500,1,2,1,0
1,42,2,14,1,1700,1,2,1,0
2,31,2,12,1,1200,1,2,1,0
1,43,2,14,0,2750,1,1,1,0
1,44,2,4,1,800,1,1,1,0
1,55,2,14,0,4000,1,1,1,0
2,26,1,8,1,900,1,2,1,0
2,45,2,0,1,420,1,2,1,0
1,26,2,12,1,600,1,2,1,0
2,20,2,12,1,600,1,2,1,0
2,40,3,14,0,4250,1,1,1,0
1,41,2,14,0,4250,1,1,1,0
1,39,2,2,1,1750,1,2,1,0
1,31,2,2,1,1400,1,2,1,0
1,29,1,4,1,1400,1,2,1,0
1,25,1,2,1,1260,1,2,1,0
2,58,3,4,0,5000,1,1,1,0
2,36,2,4,1,250,1,2,1,0
2,50,2,17,1,1750,1,2,1,0
1,38,2,4,1,234,1,2,1,0
2,36,2,14,1,1500,1,2,1,0
1,34,2,4,1,234,1,2,1,0
1,49,2,4,1,1800,1,2,1,0
1,22,2,2,1,2000,1,2,1,0
1,32,2,4,1,2000,1,2,1,0
1,39,2,8,1,2050,1,2,1,0
2,36,2,4,1,900,1,2,1,0
1,41,2,0,1,1500,1,2,1,0
2,38,2,4,1,1200,1,2,1,0
1,36,1,0,1,1500,1,2,1,0
1,33,2,2,1,702,2,2,1,0
1,48,2,8,1,200,1,2,1,0
1,50,2,8,1,200,1,2,1,0
2,48,2,17,0,1500,2,2,1,0
1,48,2,17,1,2200,1,2,1,0
2,42,2,14,1,400,1,2,1,0
1,43,2,12,1,750,1,2,1,0
1,43,2,12,1,200,1,2,1,0
1,55,2,8,1,200,1,2,1,0
1,52,2,4,1,200,1,2,1,0
1,55,3,0,1,1080,1,2,1,0
1,39,2,4,1,1200,1,2,1,0
1,33,2,17,0,1447,1,1,1,0
2,29,2,17,1,1400,1,1,1,0
1,39,2,0,1,900,1,2,1,0
2,36,2,2,1,240,1,2,1,0
2,36,2,2,1,351,1,2,1,0
1,48,2,12,0,4000,1,2,1,0
1,26,2,12,1,700,1,2,1,0
1,26,2,12,1,117,1,2,1,0
1,52,2,4,1,1200,1,2,1,0
1,25,2,14,0,4000,1,1,1,0
1,43,2,14,0,4850,1,1,1,0
1,51,2,12,0,2300,1,1,1,0
2,38,2,8,1,700,1,2,1,0
1,44,2,4,1,1650,1,2,1,0
2,38,2,8,1,700,1,2,1,0
1,41,2,8,1,800,1,1,1,0
2,37,2,8,1,720,1,2,1,0
1,39,2,8,1,1200,1,2,1,0
2,34,2,8,1,750,1,2,1,0
1,32,2,8,1,1500,1,2,1,0
1,36,2,17,1,1950,1,2,1,0
1,30,2,4,1,1500,1,2,1,0
1,50,2,17,0,6183,1,2,1,0
2,42,2,14,0,3891,1,2,1,0
2,57,4,12,0,1913,1,1,3,0
1,32,1,14,0,2450,1,1,3,0
1,60,3,2,1,1200,1,2,1,0
1,37,2,4,1,585,1,2,1,0
1,54,2,12,0,2916,1,2,1,0
1,32,1,8,1,1166,1,1,1,0
2,53,3,14,0,2570,1,1,1,0
1,30,2,14,1,1283,1,2,1,0
1,19,1,8,1,702,1,2,1,0
1,33,2,17,0,6000,1,1,1,0
2,31,2,17,0,5800,1,1,1,0
1,55,2,17,0,7000,1,1,1,0
2,50,2,14,0,5200,1,1,1,0
